Engine_Speed,BASELINE (MPa),TASK1_NOA (MPa)
[rpm],[MPa],[MPa]
2,1.14589,1.10504
2.5,1.16544,1.14086
3,1.18748,1.20162
3.5,1.30119,1.27105
4,1.33854,1.30833
4.5,1.35486,1.36429
5,1.35925,1.3808
5.5,1.44323,1.58086
6,1.47476,1.56951
6.5,1.4562,1.63636
7,1.4142,1.59198
