Time,Traction force (Vehicle)
s,N
0.0,0.0
1.0,7945.990969907614
2.0,18.84135903744296
3.0,1550.9451267692064
4.0,4858.925870181838
5.0,1467.441949437758
6.0,4002.8816663103134
7.0,4014.8047788290633
8.0,2016.1544465276447
9.0,3431.6672268813245
10.0,486.7614252328715
11.0,2685.1166278101873
12.0,2692.6536507804462
13.0,2700.24055102886
14.0,2707.8138402043032
15.0,2715.297212289379
16.0,1557.713475502051
17.0,1991.3634044725368
18.0,2279.548869001473
19.0,2567.904282310884
20.0,2710.825336131912
21.0,2489.934179718265
22.0,2050.837670267227
23.0,1611.9121892735018
24.0,1212.8593463291993
25.0,972.7794747231227
26.0,732.8281759835962
27.0,492.9967890180817
28.0,363.6363299903557
29.0,246.63358860159667
30.0,129.71945461161422
31.0,70.69659559894924
32.0,69.55281351097865
33.0,68.47278327993111
34.0,67.55611732367854
35.0,66.6901231795929
36.0,65.87162258870299
37.0,65.09768051875041
38.0,64.36558302370318
39.0,63.67281824016775
40.0,63.01705602292827
41.0,62.396134804083886
42.0,61.80804621994164
43.0,61.25092217483722
44.0,60.723433777517684
45.0,60.226826535194064
46.0,59.75595552720527
47.0,59.30943300263528
48.0,58.88596204009624
49.0,174.09831157334904
50.0,289.31846767850385
51.0,404.5454771515433
52.0,593.3526025924244
53.0,831.203659936121
54.0,1069.0456357644682
55.0,1366.4390074483142
56.0,1802.7842795668116
57.0,2239.0973949327295
58.0,2675.378204743984
59.0,2674.860451660104
60.0,2019.2070599259587
61.0,1363.6365501585046
62.0,946.3862661195146
63.0,588.7483605379975
64.0,341.5205266793663
65.0,167.8995678721525
66.0,52.02568247556897
67.0,51.7887585248495
68.0,51.5631715026454
69.0,51.34840460720278
70.0,51.14398872448774
71.0,50.949424869128556
72.0,50.7642676056197
73.0,50.58809472707348
74.0,50.42050583046351
75.0,50.261120994042216
76.0,50.10957954857008
77.0,49.96553893475905
78.0,49.82867364001553
79.0,49.698674208191555
80.0,49.57524631660562
81.0,49.458109915101815
82.0,49.34699842236823
83.0,49.24165797514843
84.0,49.141846726352355
85.0,49.047334188408755
86.0,48.95790061851048
87.0,48.87333644267967
88.0,48.79344171583266
89.0,48.71802561525575
90.0,48.646905965111095
91.0,48.579909495850444
92.0,125.5950966334633
93.0,202.60884572388608
94.0,279.62101181942506
95.0,356.6314564127804
96.0,433.6400477778169
97.0,584.2214974726209
98.0,742.9707025687663
99.0,901.7121801024484
100.0,1060.4458362277487
