Time,Mechanical/Crankshaft static torque (ICE),Mechanical/Static torque (E-Network 48V/E-Motor P1)
s,N.m,N.m
0.0,0.0,-0.0
1.0,230.12464668458648,56.67786796303617
2.0,-6.387408204188713,0.0
3.0,57.96872537372013,15.515882592171705
4.0,216.22573541393263,40.35758607322122
5.0,78.49075162930396,18.599861591668482
6.0,216.21650407480658,40.32428885305723
7.0,216.55897845278355,41.6047822504219
8.0,86.60659136692303,31.2128060245163
9.0,216.5066639305248,41.40412350821509
10.0,-3.2014167342262425,0.0
11.0,216.3072821559325,40.65605545305903
12.0,216.6071156525626,41.79106475992954
13.0,216.76398364560993,42.40929320387469
14.0,216.85016159103185,42.547485504490794
15.0,216.97689049996313,40.44663802653771
16.0,156.36393809414517,23.13099289268015
17.0,172.84368652728023,24.160565807869034
18.0,191.79783316938745,23.05066986274143
19.0,207.04715039517075,22.026442875258585
20.0,203.5796771110616,20.326995093373863
21.0,173.27948591247244,17.593337872814697
22.0,135.7514730993842,14.790913160279407
23.0,104.02579031208592,12.50081094566263
24.0,80.7957547085631,10.599683799358406
25.0,64.76596458802597,8.995590400440543
26.0,52.799609972988556,7.620319250261693
27.0,45.548588028532976,6.413292526316624
28.0,42.35892740460076,5.325331192181622
29.0,40.08079912728468,4.316633846677328
30.0,37.83997908853987,3.3563907179378427
31.0,34.58380027364975,2.495147955910463
32.0,28.010620109341083,1.4181832512203896
33.0,18.15162086386391,0.5199628393298636
34.0,-1.1725048434650223,0.0
35.0,-1.2276711345404188,0.0
36.0,-1.286679316369952,0.0
37.0,-1.3495723055330107,0.0
38.0,-1.4164621402842865,0.0
39.0,-1.4722828757221027,0.0
40.0,-1.5497106390042514,0.0
41.0,-1.6313036495675028,0.0
42.0,-1.7172701624032403,0.0
43.0,-1.8078528999843488,0.0
44.0,-1.9033089744394616,0.0
45.0,-2.0039108070295377,0.0
46.0,-2.1099471443666022,0.0
47.0,-2.2217241529317864,0.0
48.0,-2.3395665989634686,0.0
49.0,3.6683978145221783,0.3241725857757541
50.0,21.82250710111677,1.3450369170734005
51.0,41.07825462762257,2.431604276624781
52.0,63.82713211477284,3.5444023579129618
53.0,90.04750980534378,4.683313551173495
54.0,121.69582669128161,5.848371003390135
55.0,146.567783719573,7.010900394502701
56.0,169.69049543221024,8.137454594607128
57.0,192.87395516900992,9.20326077054913
58.0,216.14424849098177,10.182233361318929
59.0,202.49482210434127,9.984626241004811
60.0,141.6293701004503,8.754494228547369
61.0,94.95245154501956,7.6022110262777325
62.0,67.15575906941669,6.501870875875126
63.0,50.06393724317148,5.437148727708849
64.0,43.302350535737475,4.377503493486534
65.0,39.63047422355801,3.2838736625601177
66.0,36.53566817287137,3.164927534360292
67.0,31.11959870514734,3.202225558336572
68.0,22.610909179226667,1.8125010313568761
69.0,11.347416967445785,0.5762721644740476
70.0,-1.6647625335253924,7.286782544545743e-12
71.0,-1.7888074275772876,0.0
72.0,-1.9068482448451327,0.0
73.0,-2.0203504538134816,0.0
74.0,-2.1305546550817827,0.0
75.0,-2.2385171918414795,0.0
76.0,-2.345142963959196,0.0
77.0,-2.4512120634775894,0.0
78.0,-2.5574015742826006,0.0
79.0,-2.6643035333328022,0.0
80.0,-2.7724398134117667,0.0
81.0,-2.8822745186830367,0.0
82.0,-2.9942243381817306,0.0
83.0,-3.1086672528994583,0.0
84.0,-3.2259498685582653,0.0
85.0,-3.346393615798135,0.0
86.0,-3.470300016448231,0.0
87.0,-3.597955174171574,0.0
88.0,-3.7296336191102775,0.0
89.0,-3.875125169538304,0.0
90.0,-4.017896459132077,0.0
91.0,-4.161406945127569,0.0
92.0,-4.378123112745849,0.0
93.0,5.711090200707517,2.7165104977832093
94.0,15.523130576338723,5.48815600099094
95.0,25.635131540296527,8.283992869559944
96.0,36.709016685007214,11.099259190808388
97.0,49.28212804061321,13.931070738757057
98.0,62.67977485066672,16.78162661867182
99.0,77.0760299120173,19.6587219444645
100.0,92.95595906164365,22.565784223423094
