Engine_Speed,OPTIMIZED (-)
[krpm],[-]
2,105.925
2.5,98.5028
3,101.368
3.5,93.1041
4,100.692
4.5,97.8548
5,97.4101
5.5,95.8779
6,101.007
6.5,105.327
7,101.287
7.5,100.277
8,98.5748
