Engine_Speed_krpm,AF_Ratio,Lambda
2.0,15.0481,1.0236802721088436
2.5,15.0569,1.024278911564626
3.0,14.8739,1.0118299319727893
3.5,14.8883,1.0128095238095238
4.0,14.6956,0.9997006802721089
4.5,14.5998,0.9931836734693879
5.0,13.906,0.9459863945578232
5.5,12.0953,0.8228095238095239
6.0,12.1079,0.8236666666666668
6.5,12.1123,0.8239659863945579
7.0,13.1306,0.8932380952380953
7.5,13.1412,0.8939591836734694
8.0,13.1562,0.8949795918367347
